Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
4,reference,1000,true,uniform,READ,168,1213950,413047,405016,1119,1,0,0,0,0,1495,1451,5074004,9154901,115640370,491346293,21895439,1434913,419180702474,485374060,44376166,3987768,1,0,0,0,0,2425,41237.113402061856,100000,20.99564,17,9391,43,63,100000
4,clean-run,1000,true,uniform,READ,796,1924881,634127,632170,6570,1,0,0,0,0,1495,1452,5076543,9154901,115643190,491347945,21895451,1434917,419191508904,485387284,44377102,3987993,1,0,0,0,0,3541,28240.60999717594,99901,32.17083913073943,23,10591,60,96,99901,99
4,avg-run,1000,true,uniform,READ,1546,4366812,1438610,1434612,14570,5,0,0,0,0,1495,1452,5076543,9154901,115643190,491348760,21895451,1434917,419197780063,485404337,44377104,3987993,1,0,0,0,0,3646,27427.317608337904,100000,33.32879,27,10007,54,84,100000
5,extend,1000,true,uniform,EXTEND,4638,6448819,2161807,2046796,23859,49958,16512,0,0,0,1495,1452,5076543,9154901,115643190,491350084,21895451,1434917,419222723406,485461170,44378783,3987993,0,0,0,0,1,4061,2462.447672986949,9991,381.47823040736665,271,28351,694,922,9991,9
5,run,1000,true,uniform,READ,4638,8612000,2883758,2766490,23859,49958,16512,0,0,0,1495,1452,5076543,9154901,115643190,491350089,21895451,1434917,419222737338,485461393,44378783,3987993,1,0,0,0,0,3855,25940.33722438392,99894,35.38222515866819,25,11295,62,97,99894,106
5,reference,1000,true,uniform,READ,168,1516412,516300,506246,1119,1,0,0,0,0,1495,1452,5076543,9154901,115643190,491350089,21895451,1434917,419222737338,485461393,44378783,3987993,1,0,0,0,0,2403,41614.64835622139,100000,20.85926,16,9735,43,59,100000
5,clean-run,1000,true,uniform,READ,939,2159088,710662,708705,7374,1,0,0,0,0,1495,1453,5079559,9154901,115646384,491351949,21895467,1434920,419234759320,485476381,44379719,3988356,1,0,0,0,0,3667,27270.248159258248,99895,33.528214625356625,24,10463,59,95,99895,105
5,avg-run,1000,true,uniform,READ,1806,4601295,1515313,1511315,15374,5,0,0,0,0,1495,1453,5079559,9154901,115646384,491352816,21895467,1434920,419242030449,485493433,44379721,3988356,1,0,0,0,0,3712,26939.655172413793,100000,33.99204,28,9895,58,81,100000
6,extend,1000,true,uniform,EXTEND,6031,8998938,3011927,2868388,30906,59952,23002,0,0,0,1495,1453,5079559,9154901,115646384,491354209,21895467,1434920,419269946220,485551435,44381755,3988356,0,0,0,0,1,4208,2376.425855513308,9994,395.8203922353412,279,26895,717,917,9994,6
6,run,1000,true,uniform,READ,6031,11330396,3789587,3643811,30906,59952,23002,0,0,0,1495,1453,5079559,9154901,115646384,491354209,21895467,1434920,419269959652,485551650,44381755,3988356,1,0,0,0,0,3984,25100.4016064257,99907,36.62725334561142,27,10039,55,107,99907,93
6,reference,1000,true,uniform,READ,168,1818874,619553,607476,1119,1,0,0,0,0,1495,1453,5079559,9154901,115646384,491354209,21895467,1434920,419269959652,485551650,44381755,3988356,1,0,0,0,0,2446,40883.07440719542,100000,21.16986,16,10071,42,60,100000
6,clean-run,1000,true,uniform,READ,996,2312910,760704,759618,7635,1,0,0,0,0,1495,1454,5082994,9154901,115649902,491356126,21895482,1434925,419291225820,485582045,44388600,3988908,1,0,0,0,0,3859,25913.449080072558,99894,35.389552926101665,26,10199,64,98,99894,106
6,avg-run,1000,true,uniform,READ,1959,5059777,1664064,1660937,16635,5,0,0,0,0,1495,1454,5082994,9154901,115649902,491357176,21895482,1434925,419299640543,485601100,44388602,3988908,1,0,0,0,0,3895,25673.940949935815,100000,35.8466,30,9815,56,100,100000
7,extend,1000,true,uniform,EXTEND,6138,11778600,3930683,3758166,38723,69949,30148,0,0,0,1495,1454,5082994,9154901,115649902,491357288,21895482,1434925,419316917923,485661157,44388721,3988908,0,0,0,0,1,4207,2376.990729736154,9986,396.03595033046264,276,27695,713,1022,9986,14
7,run,1000,true,uniform,READ,6138,14238726,4752562,4578808,38723,69949,30148,0,0,0,1495,1454,5082994,9154901,115649902,491357288,21895482,1434925,419316934011,485661412,44388721,3988908,1,0,0,0,0,4252,23518.344308560678,99896,39.36087531032273,28,10495,67,110,99896,104
7,reference,1000,true,uniform,READ,168,2121409,723690,708720,1119,1,0,0,0,0,1495,1454,5082994,9154901,115649902,491357288,21895482,1434925,419316934011,485661412,44388721,3988908,1,0,0,0,0,2470,40485.82995951417,100000,21.36211,16,9519,43,68,100000
7,clean-run,1000,true,uniform,READ,1127,2451678,806183,805097,8088,1,0,0,0,0,1495,1455,5089144,9154901,115652379,491359336,21895513,1434927,419330433852,485677275,44389656,3989489,1,0,0,0,0,3985,25094.10288582183,99901,36.745888429545246,27,11319,57,103,99901,99
7,avg-run,1000,true,uniform,READ,2408,5226648,1719018,1715020,17511,5,0,0,0,0,1495,1455,5089144,9154901,115652379,491360617,21895513,1434927,419340782178,485698071,44389659,3989489,1,0,0,0,0,3981,25119.316754584277,100000,36.68913,30,9887,57,85,100000
8,extend,1000,true,uniform,EXTEND,6284,14659950,4891293,4692739,46446,79939,37492,0,0,0,1495,1455,5089144,9154901,115652379,491360737,21895513,1434927,419372289253,485758237,44392811,3989489,0,0,0,0,1,4086,2447.381302006853,9990,383.83963963963964,280,28111,699,892,9990,10
8,run,1000,true,uniform,READ,6284,17232559,5750930,5551164,46446,79939,37492,0,0,0,1495,1455,5089144,9154901,115652379,491360763,21895513,1434927,419372306245,485758505,44392811,3989489,1,0,0,0,0,4450,22471.91011235955,99901,41.377343570134435,29,10791,65,106,99901,99
8,reference,1000,true,uniform,READ,168,2423871,826943,809950,1119,1,0,0,0,0,1495,1455,5089144,9154901,115652379,491360763,21895513,1434927,419372306245,485758505,44392811,3989489,1,0,0,0,0,2423,41271.15146512588,100000,21.06878,16,9927,44,68,100000
8,clean-run,1000,true,uniform,READ,1253,2571013,845488,844402,8476,1,0,0,0,0,1495,1456,5093039,9154901,115655252,491362937,21895533,1434930,419386862405,485775147,44393746,3990059,1,0,0,0,0,4187,23883.44877000239,99903,38.782979490105404,27,10799,63,92,99903,97
8,avg-run,1000,true,uniform,READ,2657,5346591,1758373,1754375,17949,5,0,0,0,0,1495,1456,5093039,9154901,115655252,491364341,21895533,1434930,419398324558,485796154,44393749,3990059,1,0,0,0,0,4005,24968.789013732832,100000,37.08078,30,10343,61,89,100000
9,extend,1000,true,uniform,EXTEND,7483,17664877,5893533,5669101,54413,89932,45172,0,0,0,1495,1456,5093039,9154901,115655252,491365535,21895533,1434930,419432112012,485856695,44396722,3990059,0,0,0,0,1,4042,2474.022761009401,9993,380.48343840688483,283,26895,690,864,9993,7
9,run,1000,true,uniform,READ,7483,20318135,6782086,6556432,54413,89932,45172,0,0,0,1495,1456,5093039,9154901,115655252,491365540,21895533,1434930,419432128838,485856963,44396722,3990059,1,0,0,0,0,4526,22094.56473707468,99910,42.28945050545491,29,11447,72,108,99910,90
9,reference,1000,true,uniform,READ,168,2726333,930196,911180,1119,1,0,0,0,0,1495,1456,5093039,9154901,115655252,491365540,21895533,1434930,419432128838,485856963,44396722,3990059,1,0,0,0,0,2405,41580.04158004158,100000,21.11691,16,9383,43,67,100000
9,clean-run,1000,true,uniform,READ,1382,2661958,877221,876135,8797,1,0,0,0,0,1495,1457,5097645,9154901,115659427,491367843,21895565,1434935,419447731905,485874257,44397657,3990799,1,0,0,0,0,4246,23551.577955723034,99906,39.37763497687826,28,11439,59,104,99906,94
9,avg-run,1000,true,uniform,READ,2873,5715073,1881572,1877574,18797,5,0,0,0,0,1495,1457,5097645,9154901,115659427,491369334,21895565,1434935,419459295656,485895320,44397659,3990799,1,0,0,0,0,4215,23724.79240806643,100000,39.18204,32,10927,56,106,100000
10,extend,1000,true,uniform,EXTEND,8849,20760471,6927916,6677637,62677,99926,53167,0,0,0,1495,1457,5097645,9154901,115659427,491370699,21895565,1434935,419495458819,485956701,44400720,3990799,0,0,0,0,1,4238,2359.603586597452,9994,399.5296177706624,285,28863,708,878,9994,6
10,run,1000,true,uniform,READ,8849,23479533,7843143,7591668,62677,99926,53167,0,0,0,1495,1457,5097645,9154901,115659427,491370700,21895565,1434935,419495474209,485956946,44400720,3990799,1,0,0,0,0,4551,21973.192704900022,99893,42.56464416926111,31,11967,62,118,99893,107
10,reference,1000,true,uniform,READ,168,3028795,1033449,1012410,1119,1,0,0,0,0,1495,1457,5097645,9154901,115659427,491370700,21895565,1434935,419495474209,485956946,44400720,3990799,1,0,0,0,0,2452,40783.034257748775,100000,21.62853,16,10007,43,71,100000
10,clean-run,1000,true,uniform,READ,1626,2746932,909078,907121,9521,1,0,0,0,0,1495,1458,5102487,9154901,115663985,491373247,21895590,1434937,419513103088,485976959,44401656,3991787,1,0,0,0,0,4359,22941.041523285156,99909,40.561851284669046,30,10111,57,109,99909,91
10,avg-run,1000,true,uniform,READ,3117,5800492,1914245,1910247,19521,5,0,0,0,0,1495,1458,5102487,9154901,115663985,491374738,21895590,1434937,419525656047,485998017,44401658,3991787,1,0,0,0,0,4285,23337.222870478414,100000,39.85249,33,11439,59,109,100000
