Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
4,clean-run,1000,true,uniform,READ,781,1724848,589407,587449,6116,1,0,0,0,0,1382,325,444054,580627,2213334,15830430,5666994,2424,9526509516,23522887,525665,19192,1,0,0,0,0,3887,25726.78157962439,0,100000,35.18435,20,11951,67,134,100000
4,avg-run,1000,true,uniform,READ,1531,4166757,1393776,1389775,14116,5,0,0,0,0,1382,325,444054,580627,2213334,15831180,5666994,2424,9532788675,23539940,525667,19192,1,0,0,0,0,3905,25608.19462227913,0,100000,35.65373,27,11007,65,134,100000
5,extend,1000,true,zipfian,EXTEND,8380,6071379,2194305,2078979,39671,50001,32625,0,0,0,1382,325,444054,580627,2213334,15833725,5666994,2424,9569026342,23612714,527893,19192,0,0,0,0,1,4537,2204.0996253030635,0,10000,422.2915,272,25327,750,1149,10000
5,run,1000,true,uniform,READ,8380,8063011,2888191,2770585,39671,50001,32625,0,0,0,1382,325,444054,580627,2213334,15833762,5666994,2424,9569042234,23612970,527893,19192,1,0,0,0,0,4301,23250.40688212044,0,100000,39.61092,23,10343,72,164,100000
5,reference,1000,true,uniform,READ,168,1516412,516300,506246,1119,1,0,0,0,0,1382,325,444054,580627,2213334,15833827,5666994,2424,9571686245,23635836,531463,19192,1,0,0,0,0,2641,37864.445285876565,0,100000,23.03818,17,10351,48,92,100000
5,clean-run,1000,true,uniform,READ,857,1956465,673813,672726,6769,1,0,0,0,0,1382,326,452512,580627,2217831,15835605,5667028,2436,9583007960,23649004,532400,19549,1,0,0,0,0,4017,24894.199651481205,0,100000,36.62277,22,10151,67,156,100000
5,avg-run,1000,true,uniform,READ,1804,4421923,1485549,1481548,15092,5,0,0,0,0,1382,326,452512,580627,2217831,15836552,5667028,2436,9590986545,23667292,532403,19549,1,0,0,0,0,4059,24636.61000246366,0,100000,37.19998,28,10071,67,146,100000
6,extend,1000,true,zipfian,EXTEND,8482,8544926,3092204,2947914,53489,60012,45545,0,0,0,1382,326,452512,580627,2217831,15836589,5667028,2436,9625476530,23743706,535275,19549,0,0,0,0,1,4566,2190.1007446342533,0,10000,427.6438,276,28815,767,1099,10000
6,run,1000,true,uniform,READ,8482,10717253,3857817,3712270,53489,60012,45545,0,0,0,1382,326,452512,580627,2217831,15836589,5667028,2436,9625492474,23743960,535275,19549,1,0,0,0,0,4315,23174.97103128621,0,100000,39.82001,24,11335,69,152,100000
6,reference,1000,true,uniform,READ,168,1818947,620437,607490,1119,1,0,0,0,0,1382,326,452512,580627,2217831,15836589,5667028,2436,9625492474,23743960,535275,19549,1,0,0,0,0,2689,37188.54592785422,0,100000,23.29574,17,13719,47,89,100000
6,clean-run,1000,true,uniform,READ,987,2150003,747031,745944,7483,1,0,0,0,0,1382,327,457779,580627,2219991,15838497,5667054,2438,9637904891,23758579,536210,20042,1,0,0,0,0,4121,24265.95486532395,0,100000,37.62098,23,13631,70,156,100000
6,avg-run,1000,true,uniform,READ,2042,4914319,1656689,1652688,16855,5,0,0,0,0,1382,327,457779,580627,2219991,15839552,5667054,2438,9647137949,23779010,536213,20042,1,0,0,0,0,4197,23826.54276864427,0,100000,38.61931,30,11239,69,139,100000
7,extend,1000,true,zipfian,EXTEND,8950,11183272,4075824,3905416,68607,70012,60089,0,0,0,1382,327,457779,580627,2219991,15839985,5667054,2438,9693549614,23861138,539882,20042,0,0,0,0,1,4794,2085.9407592824364,0,10000,450.778,280,29023,844,1275,10000
7,run,1000,true,uniform,READ,8950,13498312,4899537,4727893,68607,70012,60089,0,0,0,1382,327,457779,580627,2219991,15840020,5667054,2438,9693575008,23861541,539882,20042,1,0,0,0,0,4711,21226.915729144555,0,100000,43.58695,25,15415,81,165,100000
7,reference,1000,true,uniform,READ,168,2121409,723690,708720,1119,1,0,0,0,0,1382,327,457779,580627,2219991,15840020,5667054,2438,9693575008,23861541,539882,20042,1,0,0,0,0,2619,38182.512409316536,0,100000,22.75385,16,9487,49,89,100000
7,clean-run,1000,true,uniform,READ,1203,2314859,808946,806988,8398,1,0,0,0,0,1382,328,463725,580627,2222820,15842144,5667079,2444,9707806654,23878858,540818,20564,1,0,0,0,0,4220,23696.682464454978,0,100000,38.91189,25,10263,68,152,100000
7,avg-run,1000,true,uniform,READ,2377,5062674,1713691,1709690,17398,5,0,0,0,0,1382,328,463725,580627,2222820,15843318,5667079,2444,9717230377,23897913,540820,20564,1,0,0,0,0,4346,23009.66405890474,0,100000,40.13433,30,11911,73,143,100000
8,extend,1000,true,zipfian,EXTEND,12050,13987970,5138501,4942098,85662,80012,76628,0,0,0,1382,328,463725,581110,2222820,15846380,5667079,2444,9775851647,23986958,544952,20564,0,0,0,0,1,4911,2036.2451639177357,0,10000,462.4851,281,28415,912,1376,10000
8,run,1000,true,uniform,READ,12050,16420258,6010527,5812912,85662,80012,76628,0,0,0,1382,328,463725,581283,2222820,15846418,5667079,2444,9775871265,23987270,544952,20564,1,0,0,0,0,4954,20185.708518368996,0,100000,46.13129,26,12935,85,175,100000
8,reference,1000,true,uniform,READ,168,2423871,826943,809950,1119,1,0,0,0,0,1382,328,463725,581283,2222820,15846418,5667079,2444,9775871265,23987270,544952,20564,1,0,0,0,0,2642,37850.11355034065,0,100000,23.00095,16,10239,47,95,100000
8,clean-run,1000,true,uniform,READ,1250,2423971,857143,856056,8606,1,0,0,0,0,1382,329,471391,581433,2228616,15848989,5667112,2453,9790447066,24004156,545887,21279,1,0,0,0,0,4366,22904.260192395785,0,100000,40.21894,25,11151,70,161,100000
8,avg-run,1000,true,uniform,READ,2654,5201148,1770879,1766798,18079,5,0,0,0,0,1382,329,471391,581957,2228616,15850394,5667112,2453,9801927873,24025173,545891,21279,1,0,0,0,0,4329,23100.0231000231,0,100000,39.95262,30,10375,57,126,100000
9,extend,1000,true,zipfian,EXTEND,16008,16933108,6275168,6053005,104943,90012,95458,0,0,0,1382,329,471391,582047,2228616,15854352,5667112,2453,9857589497,24119630,549407,21279,0,0,0,0,1,5054,1978.6307874950535,0,10000,476.8162,282,26911,965,1418,10000
9,run,1000,true,uniform,READ,20834,19523693,7200465,6976223,105305,90023,95724,0,0,0,1382,329,471391,582151,2236044,15854487,5667112,2453,9863163904,24164686,557416,21279,1,0,0,0,0,4956,20177.562550443905,0,100000,46.14236,27,13111,75,167,100000
9,reference,1000,true,uniform,READ,168,2726333,930196,911180,1119,1,0,0,0,0,1382,329,471391,582151,2236044,15854487,5667112,2453,9863163904,24164686,557416,21279,1,0,0,0,0,2662,37565.740045078885,0,100000,23.21278,17,9591,46,86,100000
