Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
8,run,1000,true,zipfian,READ,5945,17381926,5805257,5605242,46442,79968,37460,0,0,0,1404,726,3510722,2610978,25737331,53881710,7867474,40979,112962721124,165385003,9717191,1371429,1,0,0,0,0,6726,14867.677668748142,0,99910,62.706155539985986,32,15567,122,209,99910,90
8,reference,1000,true,zipfian,READ,172,2424045,827957,810094,1119,1,0,0,0,0,1404,726,3510722,2610978,25737331,53881710,7867474,40979,112962721124,165385003,9717191,1371429,1,0,0,0,0,3503,28546.959748786754,0,100000,30.88155,17,11967,60,113,100000
8,clean-run,1000,true,zipfian,READ,1353,2607676,857625,855668,8891,1,0,0,0,0,1404,727,3514433,2610978,25740066,53883984,7867491,40983,112978176221,165403465,9718127,1371762,1,0,0,0,0,5827,17161.489617298783,0,99925,54.39688766574931,30,11335,99,169,99925,75
8,avg-run,1000,true,zipfian,READ,2638,5355799,1762660,1758662,17891,5,0,0,0,0,1404,727,3514433,2610978,25740066,53885269,7867491,40983,112988591052,165422522,9718129,1371762,1,0,0,0,0,5315,18814.67544684854,0,100000,49.45633,31,13367,88,150,100000
9,extend,1000,true,uniform,EXTEND,6322,17815431,5948005,5723255,54454,89961,45167,0,0,0,1404,727,3514433,2610978,25740066,53885631,7867491,40983,113022548422,165483841,9721503,1371762,0,0,0,0,1,5433,1840.6037180195103,0,9993,512.8346842789953,293,27615,896,1162,9993,7
9,run,1000,true,zipfian,READ,6322,20476242,6841552,6615613,54454,89961,45167,0,0,0,1404,727,3514433,2610978,25740066,53885646,7867491,40983,113022562804,165484070,9721503,1371762,1,0,0,0,0,6385,15661.707126076742,0,99913,59.829061283316484,33,16495,107,192,99913,87
9,reference,1000,true,zipfian,READ,172,2726507,931210,911324,1119,1,0,0,0,0,1404,727,3514433,2610978,25740066,53885646,7867491,40983,113022562804,165484070,9721503,1371762,1,0,0,0,0,3356,29797.377830750895,0,100000,29.71629,17,12855,58,115,100000
9,clean-run,1000,true,zipfian,READ,1491,2692405,889446,887489,9251,1,0,0,0,0,1404,728,3518656,2610978,25743400,53888058,7867512,40985,113039119242,165503399,9722439,1372142,1,0,0,0,0,6409,15603.058199407084,0,99940,59.68663197918751,32,11855,111,191,99940,60
9,avg-run,1000,true,zipfian,READ,2982,5745951,1894553,1890555,19251,5,0,0,0,0,1404,728,3518656,2610978,25743400,53889658,7867512,40985,113062657812,165538487,9727187,1372142,1,0,0,0,0,5751,17388.280299078422,0,100000,53.6913,33,15839,98,170,100000
10,extend,1000,true,uniform,EXTEND,6450,20951002,6992791,6741435,63104,99959,53523,0,0,0,1404,728,3518656,2610978,25743400,53889677,7867512,40985,113081973704,165599655,9727377,1372142,0,0,0,0,1,5398,1852.537977028529,0,9987,510.44607990387505,294,29135,876,1195,9987,13
10,run,1000,true,zipfian,READ,6450,23671878,7912050,7659493,63104,99959,53523,0,0,0,1404,728,3518656,2610978,25743400,53889677,7867512,40985,113081989038,165599898,9727377,1372142,1,0,0,0,0,6337,15780.337699226764,0,99928,59.48572972540229,35,15223,106,185,99928,72
10,reference,1000,true,zipfian,READ,172,3029042,1035347,1012568,1119,1,0,0,0,0,1404,728,3518656,2610978,25743400,53889677,7867512,40985,113081989038,165599898,9727377,1372142,1,0,0,0,0,3469,28826.751225136926,0,100000,31.02261,18,9647,59,115,100000
10,clean-run,1000,true,zipfian,READ,1630,2746775,912224,910267,9519,1,0,0,0,0,1404,729,3523729,2610978,25746828,53892228,7867535,40990,113099620830,165619910,9728313,1373153,1,0,0,0,0,6289,15900.779138177772,0,99926,59.078838340371874,34,10935,107,178,99926,74
10,avg-run,1000,true,zipfian,READ,3121,5800347,1917399,1913401,19519,5,0,0,0,0,1404,729,3523729,2610978,25746828,53893719,7867535,40990,113112183843,165640969,9728315,1373153,1,0,0,0,0,5604,17844.396859386154,0,100000,52.39494,33,12023,93,163,100000
11,extend,1000,true,uniform,EXTEND,7295,24122778,8061252,7784131,71695,109948,61793,0,0,0,1404,729,3523729,2610978,25746828,53894552,7867535,40990,113150399352,165703644,9732034,1373153,0,0,0,0,1,5498,1818.8432157148054,0,9989,519.9342276504154,295,29039,910,1230,9989,11
11,run,1000,true,zipfian,READ,7295,26906093,9010896,8732603,71695,109948,61793,0,0,0,1404,729,3523729,2610978,25746828,53894564,7867535,40990,113150414494,165703885,9732034,1373153,1,0,0,0,0,6528,15318.627450980392,0,99918,61.500330270822076,36,12583,110,187,99918,82
